,DATE,Scheduled Generation,Gross Gen.,Net Variation,Total Energy Export,Total Energy Import,Net Generation,Aux. Consumption and losses,Aux. Consumption and losses percentage,Commulative Gross Gen.,Load max.,Load min.,Load avg.,Discharge max.,Discharge min.,Discharge avg.,Reserv lvl(M) max.,Reserv lvl(M) min.,Reserv lvl(M) avg.,Reserv lvl(E) max.,Reserv lvl(E) min.,Reserv lvl(E) avg.,MonthYear
2,2021-03-01,285000.0,296968.0,4.2,338480.0,44505.0,293975.0,2993.0,1.01,296968.0,100.0,13.0,12.37366667,5.28,4.98,5.13,1750.8,1745.8,1748.3,1749.4,1746.2,1747.8,2021-03
3,2021-03-02,285000.0,292787.0,2.73,339785.0,50163.0,289622.0,3165.0,1.08,589755.0,100.0,13.0,12.19945833,5.28,4.98,5.13,1750.5,1745.5,1748,1748.9,1746.1,1747.5,2021-03
4,2021-03-03,285000.0,292454.0,2.62,356833.0,67580.0,289253.0,3201.0,1.09,882209.0,100.0,13.0,12.18558333,5.28,4.98,5.13,1750.4,1745.7,1748.05,1748.7,1745.7,1747.2,2021-03
5,2021-03-04,273250.0,282621.0,3.43,300471.0,20986.0,279485.0,3136.0,1.11,1164830.0,100.0,13.0,11.775875,5.28,4.98,5.13,1750.8,1749.6,1750.2,1751.3,1745.3,1748.3,2021-03
6,2021-03-05,273250.0,283357.0,3.7,302266.0,21883.0,280383.0,2974.0,1.05,1448187.0,100.0,13.0,11.80654167,5.28,4.98,5.13,1750.6,1749.3,1749.95,1751.3,1745.2,1748.25,2021-03
7,2021-03-06,273250.0,280331.0,2.59,305956.0,28590.0,277366.0,2965.0,1.06,1728518.0,100.0,13.0,11.68045833,5.28,4.98,5.13,1750.2,1749.0,1749.6,1751.2,1745.2,1748.2,2021-03
8,2021-03-07,240750.0,256956.0,6.73,325097.0,70785.0,254312.0,2644.0,1.03,1985474.0,100.0,13.0,10.7065,5.28,4.98,5.13,1749.9,1747.7,1748.8,1751.9,1746.7,1749.3,2021-03
9,2021-03-08,313750.0,329789.0,5.11,351578.0,25706.0,325872.0,3917.0,1.19,2315263.0,100.0,13.0,13.74,5.28,4.98,5.13,1751.3,1749.3,1750.3,1752.0,1747.0,1749.5,2021-03
10,2021-03-09,300000.0,311365.0,3.79,376276.0,67967.0,308309.0,3056.0,0.98,2626628.0,100.0,50.0,12.97,5.28,4.98,5.13,1750.6,1748.4,1749.5,1750.9,1744.2,1747.55,2021-03
11,2021-03-10,300000.0,302938.0,0.98,335904.0,36857.0,299047.0,3891.0,1.28,2929566.0,100.0,13.0,12.62,4.98,4.67,4.825,1748.6,1745.5,1747.05,1748.2,1742.2,1745.2,2021-03
